username,comment,created_at
andi_01,"Produknya sangat bagus dan pengirimannya cepat",2026-06-24
budi_02,"Pelayanannya lambat dan sangat mengecewakan",2026-06-24
citra_03,"Produknya biasa saja",2026-06-24
dina_04,"Adminnya ramah dan responsif sekali",2026-06-24
eko_05,"Harga terasa mahal untuk kualitas seperti ini",2026-06-24
fitri_06,"Saya suka desain barunya, keren banget",2026-06-24
galih_07,"Aplikasi sering error saat digunakan",2026-06-24
hana_08,"Informasinya cukup jelas",2026-06-24
indra_09,"Layanan kampus makin cepat dan nyaman",2026-06-24
joko_10,"Proses pendaftaran masih ribet dan lama",2026-06-24
karina_11,"Kualitasnya mantap, sangat rekomendasi",2026-06-24
lina_12,"Saya tidak puas dengan respons petugas",2026-06-24
mario_13,"Belum ada perubahan yang terasa",2026-06-24
nanda_14,"Pengirimannya cepat dan paket aman",2026-06-24
oki_15,"Barang datang rusak, sangat kecewa",2026-06-24
putri_16,"Rasanya enak dan harganya murah",2026-06-24
qori_17,"Tampilannya standar saja",2026-06-24
raka_18,"Support sangat profesional dan ramah",2026-06-24
sari_19,"Kualitas jelek dan pelayanan buruk",2026-06-24
tio_20,"Tempatnya bersih dan nyaman",2026-06-24
uli_21,"Saya komplain karena pesanan gagal diproses",2026-06-24
vian_22,"Materi acaranya cukup menarik",2026-06-24
wulan_23,"Produk terbaik yang pernah saya coba",2026-06-24
xaver_24,"Aksesnya sulit dan sering gagal login",2026-06-24
yani_25,"Paket lengkap sesuai deskripsi",2026-06-24
zaki_26,"Pelayanannya parah dan petugasnya kasar",2026-06-24
amel_27,"Fitur baru berjalan lancar",2026-06-24
bayu_28,"Saya belum bisa menilai karena baru mencoba",2026-06-24
clara_29,"Sangat memuaskan, bakal beli lagi",2026-06-24
daniel_30,"Waktu tunggunya lama sekali",2026-06-24
elsa_31,"Kopi 118 makin berkualitas dan rasanya mantap",2026-06-24
farhan_32,"Tidak ada masalah berarti sejauh ini",2026-06-24
